"mountain_img_id","mountain_img_url","mountain_id"
221,https://devin.aks.ac.kr/image/93d3dd0f-c24e-4be7-a4a1-c97ab23649b1?preset=orig,155
222,https://yangsan.grandculture.net/Image?localName=yangsan&id=GC014P0982&t=middle,176
223,https://devin.aks.ac.kr/image/819e0cf6-be7b-4440-92f9-4b79b9d8b55e?preset=orig,193
224,https://www.forest.go.kr/kfsweb/cmm/fms/getImage.do?atchFileId=FILE_000000000423618&fileSn=2,109
225,https://devin.aks.ac.kr/image/7f81edf6-6e3a-4d94-a119-1836d6e13e56?preset=orig,142
226,https://devin.aks.ac.kr/image/dedd3423-4b2d-4d27-8250-b3b4cf6b2a75?preset=orig,132
227,https://devin.aks.ac.kr/image/1392c688-ecb0-4f02-ac6b-eada2599454a?preset=orig,132
228,https://devin.aks.ac.kr/image/5268630c-3448-4bf6-b2b1-ffb2f50fa0e9?preset=orig,132
230,https://yangju.grandculture.net/Image?localName=yangju&id=GC043P6257&t=middle,123
231,https://devin.aks.ac.kr/image/4663fba1-07bc-44b2-88bb-ef5584abc0db?preset=orig,160
232,https://letsgogb.com/upload/images/81f4c7359c594b17b15a0affebbfb797.jpg,194
233,https://www.chungnam.go.kr/static/cnpark/img/sub3/03_02_01.jpg,117
234,https://devin.aks.ac.kr/image/49284d4b-3587-4046-992c-3e5014b209ca?preset=orig,117
235,https://devin.aks.ac.kr/image/edf48bf2-e2b2-426e-bbfd-425f6bb605fa?preset=orig,117
