구분,국립공원관리번호,공원사무소코드,분류코드,일련번호,시작점_ID,종점_ID,사용여부,지리정보시스템 상 거리(m),난이도,쉐입거리(Shape_Leng),경도,위도
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9781542,35.08877028
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9782491,35.08873577
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9782438,35.08868502
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9782135,35.08865762
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9781924,35.08862111
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9782189,35.08855414
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9781161,35.08838971
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9780213,35.08817048
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9779713,35.0879573
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.977974,35.08789033
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9780807,35.08764986
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9783654,35.08720131
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9784735,35.08704305
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9784748,35.08695679
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9784881,35.08686747
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9785697,35.08677005
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786146,35.08657725
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786568,35.0864818
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787122,35.08618752
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787521,35.086016
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9788375,35.08569531
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787717,35.08534421
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787362,35.08504477
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787363,35.08484179
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9786811,35.08469566
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9787469,35.08451703
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9788563,35.08414668
2248,21000000000,2101,501,5,0,0,1,944.0772732,0,0.00881497,126.9789788,35.0840274
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9795295,35.0917966
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9793756,35.09175114
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9791381,35.09169313
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9790079,35.09166968
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9789083,35.09164911
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9787888,35.09164187
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9786121,35.09167907
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9784319,35.09173915
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9781757,35.09182041
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.977979,35.09187553
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9778528,35.09190021
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9777377,35.09192966
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9775849,35.09191485
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9774588,35.09185704
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9771974,35.0917619
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9769203,35.09171912
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9766343,35.09169436
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9762733,35.09166346
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9761285,35.09166019
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9760006,35.09165502
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9759503,35.09165853
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9758884,35.09167996
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9757752,35.09173465
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9756847,35.09177384
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.975603,35.09180411
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9754934,35.0918314
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9753821,35.09182894
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9752049,35.09179745
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9750382,35.09178461
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9748491,35.09177574
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9746772,35.09175362
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9745353,35.09175043
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9744092,35.09177276
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9743138,35.09179581
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9742051,35.09179795
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9740973,35.09177269
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9739543,35.09171911
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9736714,35.09159827
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9734852,35.09150259
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9732772,35.09139257
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9729979,35.09125352
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9729215,35.09111325
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9728812,35.09108088
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9728284,35.09104274
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9727834,35.09101767
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9725863,35.09095967
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9724841,35.09091611
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9723961,35.09083794
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9723222,35.09072777
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9722342,35.09056839
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9721567,35.09045255
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.972037,35.09035977
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9720018,35.09034813
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9719595,35.09033947
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9715544,35.09042337
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9713479,35.09046605
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9709428,35.09051814
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9707878,35.0905181
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9706714,35.09050301
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9702279,35.09046
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9699935,35.09043731
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9696801,35.09041109
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9694863,35.0903995
2249,21000000000,2101,501,6,0,0,1,4464.694298,0,0.045342167,126.9693736,35.09037631
